gene_id	trimmed_mean_expression
ENSG00000029364.12	32.54982
ENSG00000029534.21	46.280415
ENSG00000029559.7	0.100382455
ENSG00000029639.11	5.810321
ENSG00000029725.17	23.542444
ENSG00000029993.15	21.526178
ENSG00000030066.13	27.111277
ENSG00000030110.13	52.674732
ENSG00000030304.14	0.049306795
ENSG00000030419.16	8.941935
ENSG00000030582.18	493.18878
ENSG00000031003.10	47.385143
ENSG00000031081.11	6.090776
ENSG00000031691.7	5.958918
ENSG00000031698.13	46.900974
ENSG00000031823.14	27.469969
ENSG00000032219.19	50.14739
ENSG00000032389.13	10.747912
ENSG00000032444.17	40.6718
ENSG00000032742.18	6.1401124
ENSG00000033011.13	5.054493
ENSG00000033030.15	26.018568
ENSG00000033050.9	4.9389715
ENSG00000033100.16	71.87657
ENSG00000033122.21	0.46659693
ENSG00000033170.17	9.127804
ENSG00000033178.13	28.547834
ENSG00000033327.13	113.984665
ENSG00000033627.17	25.234396
ENSG00000033800.14	36.781357
ENSG00000033867.16	13.128193
ENSG00000034053.14	8.861568
ENSG00000034152.19	183.53873
ENSG00000034239.11	0.042451918
ENSG00000034510.6	2097.1008
ENSG00000034533.12	9.439959
ENSG00000034677.13	76.19449
ENSG00000034693.15	9.034904
ENSG00000034713.8	64.90569
ENSG00000034971.17	0.086937636
ENSG00000035115.22	4.6336193
ENSG00000035141.8	34.440693
ENSG00000035403.18	65.81529
ENSG00000035499.13	6.7784896
ENSG00000035664.11	2.710727
ENSG00000035681.9	45.84943
ENSG00000035687.10	44.8377
ENSG00000035720.8	17.885685
ENSG00000035862.12	50.711586
ENSG00000035928.16	41.219788
ENSG00000036054.13	36.230938
ENSG00000036257.13	32.030315
ENSG00000036448.10	1.018734
ENSG00000036473.8	0.004112316
ENSG00000036530.9	0.5804074
ENSG00000036549.13	20.728817
ENSG00000036565.15	0.31238058
ENSG00000036672.16	2.377911
ENSG00000036828.17	0.053918425
ENSG00000037042.9	5.7725463
ENSG00000037241.7	17.279598
ENSG00000037280.16	3.5990813
ENSG00000037474.15	41.242325
ENSG00000037637.11	23.679815
ENSG00000037749.12	6.4815497
ENSG00000037757.14	14.656352
ENSG00000037897.17	10.808091
ENSG00000037965.6	0.032344136
ENSG00000038002.9	18.136822
ENSG00000038210.14	22.991556
ENSG00000038219.13	35.19364
ENSG00000038274.17	29.122183
ENSG00000038295.8	0.0069721183
ENSG00000038358.15	52.790108
ENSG00000038382.20	30.690928
ENSG00000038427.16	106.52019
ENSG00000038532.16	18.14704
ENSG00000038945.15	2.4653966
ENSG00000039068.19	2.7050266
ENSG00000039123.16	38.375267
ENSG00000039139.9	0.015755765
ENSG00000039319.17	8.305228
ENSG00000039523.20	31.820927
ENSG00000039537.14	0.003698128
ENSG00000039560.14	0.5791156
ENSG00000039600.11	0.20485233
ENSG00000039650.12	29.75512
ENSG00000039987.7	0.5364924
ENSG00000040199.18	5.0287695
ENSG00000040275.17	6.5861225
ENSG00000040341.18	10.62955
ENSG00000040487.13	28.709425
ENSG00000040531.16	9.959642
ENSG00000040608.14	5.619607
ENSG00000040633.13	20.866333
ENSG00000040731.10	0.04982276
ENSG00000040933.16	18.476883
ENSG00000041353.10	8.69204
ENSG00000041357.16	34.019928
ENSG00000041515.16	0.3049344
ENSG00000041802.11	34.531998
ENSG00000041880.14	9.204146
ENSG00000041982.16	1.0530473
ENSG00000041988.15	7.9393253
ENSG00000042062.13	23.744545
ENSG00000042088.14	17.383417
ENSG00000042286.15	2.1527336
ENSG00000042304.12	0.03350581
ENSG00000042317.17	2.6412914
ENSG00000042429.12	6.200768
ENSG00000042445.14	20.256342
ENSG00000042493.16	137.69507
ENSG00000042753.12	70.07721
ENSG00000042781.14	0.046086505
ENSG00000042813.8	0.080476545
ENSG00000042832.12	0.96599203
ENSG00000042980.13	18.530706
ENSG00000043039.7	0.041103743
ENSG00000043093.15	31.82766
ENSG00000043143.20	24.335283
ENSG00000043355.12	0.026666995
ENSG00000043462.13	92.76411
ENSG00000043514.17	9.622517
ENSG00000043591.6	4.938584
ENSG00000044012.4	0.053915575
ENSG00000044090.10	12.03035
ENSG00000044115.21	45.156227
ENSG00000044446.12	27.475637
ENSG00000044459.15	5.292481
ENSG00000044524.11	0.051633008
ENSG00000044574.8	973.6744
ENSG00000046604.13	2.4848504
ENSG00000046647.13	13.187867
